lemma;category;1830;1831;1832;1833;1834;1835;1836;1837;1838;1839;1840;1841;1842;1843;1844;1845;1846;1847;1848;1849;1850;1851;1852;1853;1854;1855;1856;1857;1858;1859;1860;1861;1862;1863;1864;1865;1866;1867;1868;1869;1870;1871;1872;1873;1874;1875;1876;1877;1878;1879;1880;1881;1882;1883;1884;1885;1886;1887;1888;1889;1890;1891;1892;1893;1894;1895;1896;1897;1898;1899;1900;1901;1902;1903;1904;1905;1906;1907;1908;1909;1910;1911;1912;1913;1914;1915;1916;1917;1918;1919;1920;1921;1922;1923;1924;1925;1926;1927;1928;1929;1930;Totale
adelantado;profession;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1
aedo;profession;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2
affrescatore;profession;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;2
agente;profession;4;0;0;0;1;0;1;3;0;16;0;2;8;0;3;8;0;0;10;6;7;6;3;34;0;19;12;21;7;7;1;6;14;10;3;14;15;9;9;6;8;7;1;1;17;2;3;22;1;4;1;8;6;70;144;1;7;25;6;46;1;28;0;9;14;22;3;6;4;20;2;16;51;7;9;26;11;15;12;45;41;4;1;37;8;5;4;0;2;1;1;0;6;12;0;4;2;10;1;18;13;1116
agrimensore;profession;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;5;0;0;0;1;0;11
agronomo;profession;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;5;0;0;0;0;0;0;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;11
aiutante;military rank;1;0;1;0;5;0;0;1;0;0;0;1;0;1;1;0;1;0;0;4;1;4;0;2;2;1;0;0;0;10;8;0;12;7;4;0;9;1;1;1;1;2;1;1;10;0;7;1;1;4;3;0;0;1;2;5;1;2;0;5;1;2;3;9;0;1;2;3;0;11;0;3;5;1;9;2;0;1;3;1;1;1;6;3;0;1;0;0;1;1;7;1;56;7;0;3;3;3;0;0;14;291
albergatore;profession;5;0;4;0;1;0;2;1;3;5;0;1;0;0;2;0;0;0;0;1;0;0;1;3;0;0;0;8;4;0;0;1;3;2;0;0;0;1;4;0;2;1;5;0;3;2;4;11;0;0;7;0;0;3;4;1;4;0;2;21;7;0;1;2;0;8;1;1;0;1;0;3;5;3;1;0;1;2;1;2;0;3;15;1;0;0;5;0;5;1;0;3;2;2;0;0;0;2;1;1;3;205
alchimista;profession;0;0;0;0;0;0;0;0;0;5;0;0;3;0;0;8;0;0;0;0;1;0;0;0;0;2;0;0;0;21;0;0;3;0;2;0;1;1;17;0;4;0;0;0;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;1;0;1;0;0;0;0;0;0;0;0;1;1;0;1;3;0;3;2;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;85
alfiere;military rank;4;0;0;0;1;0;1;13;13;1;0;18;0;2;5;0;0;0;2;5;0;2;0;3;39;11;2;5;1;2;9;3;6;8;3;7;5;0;1;0;8;0;3;0;2;6;1;2;1;3;0;0;0;0;3;1;0;2;3;4;0;0;1;10;0;2;1;0;1;1;0;4;0;0;1;0;88;1;0;0;0;12;0;0;3;0;0;0;3;0;1;0;12;0;0;0;0;1;1;6;0;360
algebrista;profession;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1
alienista;profession;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;3;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;5;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;3;1;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;8;0;25
allenatore;profession;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;1;0;0;1;0;0;0;4;0;9
allevatore;profession;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;1;0;3;0;0;0;0;0;2;1;0;0;0;0;0;1;0;0;1;0;0;0;0;0;1;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;1;0;1;0;0;0;0;2;0;0;0;0;16
alpinista;profession;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;9;0;9;0;1;2;2;0;6;16;0;1;13;2;0;0;1;0;1;0;1;1;0;0;0;0;1;0;0;0;2;1;0;0;0;0;1;5;0;1;0;0;4;0;1;1;0;1;0;1;0;0;1;0;85
alpino;military rank;0;0;0;0;0;0;0;0;0;0;8;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;3;1;0;1;1;0;0;0;0;0;1;0;0;0;0;0;1;0;0;0;5;0;2;0;10;18;0;0;90;2;0;3;0;0;0;0;0;1;0;3;0;0;2;0;8;0;1;0;0;0;4;0;1;1;0;2;0;4;3;0;1;7;1;2;0;0;0;0;0;0;190
alunno;military rank;0;0;2;1;0;0;3;1;2;17;0;0;2;3;4;0;1;1;3;2;4;0;0;20;0;18;9;3;1;0;3;0;2;0;10;12;0;1;1;5;0;0;8;1;6;5;1;0;0;2;0;0;2;14;4;0;17;3;0;7;0;3;15;1;1;36;4;4;0;0;1;5;7;0;0;1;1;1;1;2;0;5;6;3;1;0;1;18;2;1;5;0;3;2;1;5;1;0;5;1;2;346
amanuense;profession;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;1;0;0;0;1;0;0;0;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;11
ambasciatore;profession;2;1;2;3;1;0;4;6;28;10;0;19;2;13;4;2;0;7;0;0;0;3;3;0;0;25;8;8;5;0;2;5;7;13;5;4;24;1;7;0;21;0;3;4;13;2;3;1;2;6;0;1;23;1;5;13;5;6;3;7;8;3;5;1;18;2;13;0;0;11;1;7;0;21;2;0;9;1;4;2;3;4;2;6;3;0;34;0;9;2;1;1;2;6;2;9;0;0;0;1;3;539
ambulante;profession;0;0;0;2;0;0;3;2;2;0;0;0;0;2;0;0;2;0;0;0;0;0;0;0;1;3;1;4;4;1;1;0;1;1;4;2;3;1;3;1;2;1;2;0;1;7;1;4;2;6;2;0;3;3;6;4;3;3;3;1;0;11;4;1;2;1;0;2;0;1;1;13;2;3;2;1;3;8;1;5;0;0;3;3;1;0;2;1;2;0;0;3;1;1;2;3;6;4;1;4;1;197
ammaestratore;profession;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;2
ammiraglio;military rank;1;0;0;0;0;0;2;0;3;4;0;2;0;11;141;1;0;0;0;0;11;0;0;0;1;6;1;0;0;0;2;3;5;7;3;2;4;0;0;0;2;7;1;1;8;1;3;1;0;1;0;0;0;0;0;0;2;9;0;0;2;0;0;7;0;0;230;0;15;0;21;0;0;0;2;0;0;0;2;0;0;0;1;161;11;0;1;0;4;0;0;0;0;12;0;0;0;6;0;0;0;721
analista;profession;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;1;1;0;0;6
anatomista;profession;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;6
animatore;profession;1;0;1;0;0;0;0;4;1;0;0;1;0;0;0;0;1;0;0;2;2;2;0;0;0;2;0;4;0;0;0;0;0;1;1;0;0;0;0;0;0;0;1;0;1;0;0;0;0;0;0;0;0;1;3;1;0;2;0;0;0;0;0;1;0;0;1;0;0;0;0;0;1;0;1;0;3;2;0;0;1;4;1;1;3;0;0;0;0;0;1;2;0;1;0;0;0;1;0;1;0;57
annalista;profession;0;0;0;0;1;0;0;0;0;0;1;0;0;0;0;0;0;0;1;0;0;0;0;0;1;2;0;0;0;0;0;0;0;0;0;1;0;1;0;0;0;0;0;0;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;13
annunciatore;profession;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;1;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;1;1;0;0;0;0;0;0;0;8
antiquario;profession;0;0;0;1;3;0;4;4;1;1;0;2;0;0;0;0;0;1;0;1;1;2;0;0;12;0;2;0;2;1;0;1;2;0;1;5;0;0;1;0;13;1;0;0;0;0;1;4;3;1;0;1;0;3;3;9;0;3;0;2;0;8;0;0;0;0;0;0;0;0;0;0;0;1;1;0;1;2;1;1;1;0;2;2;1;0;4;1;1;0;1;3;7;1;1;2;0;2;1;0;1;138
antropologo;profession;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;3;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;6
apologista;profession;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;8
apparatore;profession;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;1;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;5;0;0;0;0;0;0;0;0;0;0;0;0;0;0;9
apprendista;profession;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;1;0;0;0;6;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;3;0;1;0;0;1;0;0;0;0;0;1;0;1;0;1;0;0;3;0;0;0;0;0;0;4;0;0;0;0;1;0;1;0;0;0;0;0;1;0;0;0;1;0;0;0;1;3;0;1;0;0;2;1;0;1;0;0;1;1;39
appuntato;military rank;0;0;3;4;2;0;3;1;1;4;2;0;3;1;2;0;1;2;1;1;3;1;3;3;1;3;0;2;3;1;5;1;9;3;6;1;3;2;7;4;1;0;0;2;0;5;3;2;0;1;1;1;1;2;3;5;2;2;1;2;4;0;0;1;3;4;3;0;1;4;0;2;2;4;4;4;0;1;0;3;0;6;3;2;2;2;3;2;1;1;3;1;3;0;1;1;1;0;0;1;0;199
arabista;profession;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2
araldo;profession;2;0;2;9;13;0;8;4;7;0;2;0;0;1;0;0;0;1;0;0;1;0;0;0;0;4;1;3;1;1;0;0;17;0;41;0;1;2;0;0;4;0;0;2;0;0;38;1;2;1;0;1;0;0;0;1;0;0;1;1;0;0;0;4;0;1;0;0;2;1;2;8;2;0;1;0;5;0;0;1;0;0;0;0;0;0;0;2;1;4;1;1;0;1;0;0;0;1;0;4;1;216
aratore;profession;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;1;0;0;0;0;0;0;0;2;0;0;0;0;0;0;1;0;8
arbitro;profession;0;0;5;7;0;0;1;1;4;4;2;1;2;2;2;3;0;2;0;2;1;0;0;3;0;8;0;5;3;0;0;3;6;7;4;1;2;4;1;1;2;1;2;6;2;2;12;0;0;0;1;2;0;1;4;2;0;2;0;9;1;3;0;3;4;3;1;3;2;0;1;2;0;4;5;1;6;3;1;2;1;4;0;4;14;1;0;1;2;3;1;1;2;6;2;2;1;3;2;39;0;269
archeologo;profession;0;0;2;0;0;0;2;1;0;1;0;0;0;0;1;0;0;5;0;1;0;1;0;0;0;2;0;0;0;0;0;1;0;0;6;2;0;0;1;0;0;0;6;0;1;0;0;0;0;12;1;0;0;0;0;1;0;2;0;0;0;0;0;2;0;3;1;0;3;0;3;0;0;1;0;0;0;3;1;1;1;1;0;2;8;0;1;0;1;0;0;0;0;0;0;1;0;0;0;0;0;82
archibugiere;profession;0;0;0;0;0;0;4;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;7;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;15
archimandrita;ecclesiastical occupation;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;1;0;0;0;0;0;1;0;0;3;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;8
architetto;profession;5;1;2;2;0;0;5;4;5;3;0;14;9;5;1;1;0;3;1;0;0;2;0;0;1;6;13;2;1;2;3;0;0;0;6;10;3;3;2;2;7;2;11;5;1;0;0;0;0;1;0;79;2;1;5;2;0;3;0;1;0;2;0;3;1;6;3;1;28;2;0;1;1;1;3;0;3;0;1;1;1;1;1;4;1;0;0;2;0;1;2;0;0;0;1;0;0;0;0;1;0;309
archivista;profession;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;1;1;4;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;1;0;0;0;0;1;0;0;0;0;0;0;0;7;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3;0;0;1;0;0;0;0;0;0;0;0;0;10;0;0;0;0;0;0;0;0;31
arcidiacono;ecclesiastical occupation;0;0;0;0;0;0;0;3;1;0;0;0;0;0;0;0;0;3;0;0;0;1;0;0;9;0;0;0;0;0;0;0;1;0;5;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;24;0;0;0;0;1;1;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;51
arciduca;noble rank;2;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;9;1;2;0;0;0;3;0;0;0;0;0;0;2;11;1;2;4;0;26;0;0;2;2;0;0;0;0;2;0;1;0;3;0;1;0;0;1;3;0;0;0;0;0;0;2;0;0;0;0;0;0;3;1;0;0;0;57;0;0;0;0;0;0;1;1;0;0;0;1;0;0;0;0;1;0;49;0;0;0;0;0;198
arciduchessa;noble rank;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;1;0;0;0;0;1;0;0;0;1;0;0;1;2;0;0;1;0;3;0;0;0;0;0;2;0;0;0;0;0;0;0;0;1;0;0;0;0;1;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;45;0;0;0;0;1;0;0;0;0;0;0;3;0;0;0;0;0;0;9;1;0;0;0;0;75
arciere;profession;0;0;6;6;0;0;0;1;1;0;1;0;0;7;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;1;7;0;1;0;0;0;0;0;2;0;1;25;44;0;4;0;0;0;0;0;0;0;0;0;0;0;1;6;0;0;0;0;0;1;0;0;0;1;3;0;0;1;1;0;3;0;0;0;0;0;0;0;3;0;1;0;4;0;0;0;1;1;1;1;0;0;0;0;0;137
arciprete;ecclesiastical occupation;0;0;0;1;0;1;0;4;11;0;0;0;3;0;0;0;0;3;0;1;2;3;16;0;2;79;3;0;0;0;0;0;0;7;9;0;0;0;0;0;2;0;2;0;0;10;1;2;1;4;0;15;3;0;0;21;0;1;0;2;0;0;2;0;0;3;0;0;1;1;2;0;0;0;0;0;0;12;0;0;33;0;6;0;0;0;2;0;0;0;0;0;0;0;0;0;0;19;0;0;0;290
arcivescovo;ecclesiastical occupation;1;16;9;0;19;0;3;5;51;23;7;15;21;40;2;14;0;98;1;2;2;0;0;4;1;42;1;13;9;2;16;0;7;5;183;9;10;15;11;0;6;1;11;0;0;9;0;0;0;0;4;6;0;5;1;4;0;4;14;0;5;10;0;0;0;2;0;2;2;2;1;9;0;1;0;0;3;1;0;0;0;6;0;0;8;0;0;0;0;1;1;0;3;14;0;4;0;4;0;1;0;802
argentario;profession;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;6
argentiere;profession;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3;1;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;4;0;0;0;0;0;1;0;13
armaiolo;profession;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2
armatore;profession;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;7;0;0;0;0;0;0;0;0;0;0;2;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;3;0;0;0;3;0;2;0;0;0;0;0;0;1;0;0;0;0;6;0;2;0;6;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;36
